eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,split_size
0.7326842546463013,0.5646,0.5646,1.0,0.7217180109932251,51.7611,193.195,24.149,1.0,1%
0.7009621858596802,0.5646,0.5646,1.0,0.7217180109932251,52.2336,191.448,23.931,1.0,2%
0.685357928276062,0.5647,0.5646564656465647,1.0,0.7217641418983701,50.8041,196.834,24.604,1.0,5%
0.7027760148048401,0.5646,0.5646,1.0,0.7217180109932251,50.3533,198.597,24.825,1.0,7%
0.5753806829452515,0.6644,0.6299954586739328,0.9828196953595466,0.7678151376781513,50.5001,198.019,24.752,1.0,10%
0.49719446897506714,0.7732,0.7297959183673469,0.9500531349628055,0.8254847645429363,52.127,191.839,23.98,1.0,20%
0.443085253238678,0.845,0.8248730964467005,0.9210060219624513,0.8702928870292886,52.3453,191.039,23.88,1.0,30%
0.4597833454608917,0.8207,0.7896556908735528,0.9302160821820759,0.8541920793689517,50.5264,197.916,24.74,1.0,50%
0.4849218726158142,0.7587,0.7108936725375081,0.9651080410910379,0.8187213582751108,50.3395,198.651,24.831,1.0,75%
0.41246747970581055,0.8387,0.8205372754728978,0.914275593340418,0.8648739214207926,50.5723,197.737,24.717,1.0,100%
